581,47.9843748,-122.191576
160,47.9843675,-122.1908996
592,47.9843597,-122.1901705
112,47.9843524,-122.1894948
580,47.9843447,-122.1887812
154,47.9843372,-122.1880831
657,47.9843294,-122.1873575
104,47.984322,-122.1866679
648,47.9843143,-122.18595
97,47.9843069,-122.1852658
155,47.984299,-122.1845282
151,48.0016074,-122.2017244
150,48.0002984,-122.2017623
465,47.9996191,-122.2017819
466,47.9991202,-122.2017985
149,47.998979,-122.2018005
148,47.9976771,-122.2018382
147,47.9963545,-122.2018765
146,47.9950383,-122.2019146
129,47.9937216,-122.2019527
145,47.9924046,-122.2019909
861,47.9910783,-122.2020055
144,47.9897654,-122.2020673
143,47.9884502,-122.2021054
142,47.9871321,-122.2021435
141,47.9858164,-122.2021816
140,47.9831971,-122.2022574
166,47.9819037,-122.2022949
165,47.98055,-122.2023341
327,47.9820896,-122.2007652
334,47.9825249,-122.2007527
329,47.9820955,-122.2012268
336,47.9825309,-122.2012144
333,47.9825218,-122.2005118
325,47.9820865,-122.2005243
326,47.9820893,-122.2007429
392,47.9818765,-122.200749
335,47.9825279,-122.2009831
328,47.9820925,-122.2009955
337,47.9825346,-122.2015043
332,47.982519,-122.2002895
324,47.9820836,-122.200302
90,47.9818855,-122.2015111
751,47.981883,-122.2013001
395,47.9818515,-122.1986408
393,47.981835,-122.1972454
394,47.9818188,-122.1958756
51,47.9818094,-122.1950808
745,47.9817953,-122.1938991
854,47.9817937,-122.1937604
744,47.9817921,-122.1936281
396,47.9817771,-122.1923554
700,47.9817623,-122.1911061
106,47.9817603,-122.1909391
242,47.9820013,-122.2113803
763,47.9819999,-122.2112448
564,47.9819939,-122.210688
762,47.9819877,-122.2101118
13,47.9819861,-122.2099639
761,47.9819846,-122.2098246
570,47.9819786,-122.2092733
760,47.9819728,-122.2087359
759,47.9819692,-122.2084002
572,47.9819638,-122.2078893
758,47.9819578,-122.2073308
757,47.9819544,-122.2070164
634,47.9819484,-122.2064551
756,47.9819426,-122.2059141
